date,symbol,marketcapname,sector
08-04-2020,LAURUSLABS,Largecap,Pharmaceuticals
14-05-2020,IRCON,Largecap,Realty
20-05-2020,BCG,Smallcap,I.T
01-06-2020,TTML,Midcap,Telecom
01-06-2020,TANLA,Midcap,I.T
02-06-2020,RCF,Midcap,Industrials
02-06-2020,IRCON,Largecap,Realty
03-06-2020,ITI,Largecap,Telecom
04-06-2020,LAURUSLABS,Largecap,Pharmaceuticals
04-06-2020,NETWORK18,Midcap,Media
22-06-2020,GMRINFRA,Largecap,Realty
23-06-2020,IRCON,Largecap,Realty
24-06-2020,IOB,Largecap,Bank
01-07-2020,TANLA,Midcap,I.T
03-07-2020,TATAPOWER,Largecap,Miscellaneous
03-07-2020,IRCON,Largecap,Realty
06-07-2020,PCBL,Midcap,Industrials
07-07-2020,MMTC,Midcap,Services
07-07-2020,ALLCARGO,Smallcap,Services
08-07-2020,RAIN,Midcap,Miscellaneous
08-07-2020,RCF,Midcap,Industrials
08-07-2020,GPPL,Midcap,Industrials
13-07-2020,GAEL,Midcap,FMCG
13-07-2020,FSL,Midcap,I.T
20-07-2020,RTNINDIA,Midcap,Miscellaneous
21-07-2020,JMFINANCIL,Midcap,Finance
22-07-2020,ALLCARGO,Smallcap,Services
23-07-2020,GPIL,Midcap,Metals
24-07-2020,GAEL,Midcap,FMCG
24-07-2020,GMRINFRA,Largecap,Realty
31-07-2020,GPIL,Midcap,Metals
31-07-2020,CENTRALBK,Largecap,Bank
04-08-2020,ALOKINDS,Midcap,Textiles
05-08-2020,GSFC,Midcap,Industrials
05-08-2020,TRIVENI,Midcap,FMCG
05-08-2020,GPIL,Midcap,Metals
07-08-2020,SAIL,Largecap,Metals
07-08-2020,IRCON,Largecap,Realty
10-08-2020,PCBL,Midcap,Industrials
10-08-2020,RCF,Midcap,Industrials
10-08-2020,JSL,Largecap,Metals
10-08-2020,IDEA,Largecap,Telecom
11-08-2020,TTML,Midcap,Telecom
11-08-2020,RENUKA,Midcap,FMCG
11-08-2020,ALLCARGO,Smallcap,Services
12-08-2020,TATAPOWER,Largecap,Miscellaneous
12-08-2020,CENTRALBK,Largecap,Bank
13-08-2020,REDINGTON,Midcap,Services
14-08-2020,MMTC,Midcap,Services
14-08-2020,GPPL,Midcap,Industrials
18-08-2020,MMTC,Midcap,Services
18-08-2020,SJVN,Largecap,Miscellaneous
19-08-2020,IOB,Largecap,Bank
20-08-2020,HUDCO,Largecap,Finance
24-08-2020,IDBI,Largecap,Bank
24-08-2020,GMRINFRA,Largecap,Realty
24-08-2020,FSL,Midcap,I.T
25-08-2020,GSFC,Midcap,Industrials
25-08-2020,RCF,Midcap,Industrials
27-08-2020,GAEL,Midcap,FMCG
31-08-2020,TTML,Midcap,Telecom
03-09-2020,TTML,Midcap,Telecom
08-09-2020,JAMNAAUTO,Smallcap,Auto
10-09-2020,TEJASNET,Midcap,Telecom
15-09-2020,CESC,Midcap,Miscellaneous
15-09-2020,JMFINANCIL,Midcap,Finance
16-09-2020,PRSMJOHNSN,Midcap,Industrials
16-09-2020,ALOKINDS,Midcap,Textiles
16-09-2020,FSL,Midcap,I.T
16-09-2020,GPPL,Midcap,Industrials
17-09-2020,JAMNAAUTO,Smallcap,Auto
17-09-2020,IDFC,Midcap,Finance
29-09-2020,ALLCARGO,Smallcap,Services
30-09-2020,PCBL,Midcap,Industrials
05-10-2020,GSFC,Midcap,Industrials
06-10-2020,JSL,Largecap,Metals
06-10-2020,GPIL,Midcap,Metals
06-10-2020,GMRINFRA,Largecap,Realty
07-10-2020,NLCINDIA,Largecap,Miscellaneous
07-10-2020,IDFCFIRSTB,Largecap,Bank
08-10-2020,PRSMJOHNSN,Midcap,Industrials
08-10-2020,TATAPOWER,Largecap,Miscellaneous
09-10-2020,JMFINANCIL,Midcap,Finance
09-10-2020,TEJASNET,Midcap,Telecom
09-10-2020,TRIVENI,Midcap,FMCG
14-10-2020,PCBL,Midcap,Industrials
14-10-2020,REDINGTON,Midcap,Services
15-10-2020,GPIL,Midcap,Metals
19-10-2020,GSFC,Midcap,Industrials
19-10-2020,GPPL,Midcap,Industrials
20-10-2020,TATAPOWER,Largecap,Miscellaneous
20-10-2020,TTML,Midcap,Telecom
22-10-2020,TEJASNET,Midcap,Telecom
22-10-2020,ABCAPITAL,Largecap,Finance
26-10-2020,GMRINFRA,Largecap,Realty
27-10-2020,FSL,Midcap,I.T
04-11-2020,JAMNAAUTO,Smallcap,Auto
04-11-2020,ALLCARGO,Smallcap,Services
05-11-2020,GPIL,Midcap,Metals
06-11-2020,TATAPOWER,Largecap,Miscellaneous
09-11-2020,GMRINFRA,Largecap,Realty
09-11-2020,IDFCFIRSTB,Largecap,Bank
10-11-2020,TATAMTRDVR,Largecap,Auto
10-11-2020,IDFC,Midcap,Finance
10-11-2020,ALLCARGO,Smallcap,Services
10-11-2020,GPPL,Midcap,Industrials
12-11-2020,IDBI,Largecap,Bank
13-11-2020,PCBL,Midcap,Industrials
13-11-2020,FSL,Midcap,I.T
14-11-2020,PRSMJOHNSN,Midcap,Industrials
17-11-2020,SUZLON,Largecap,FMCG
17-11-2020,REDINGTON,Midcap,Services
17-11-2020,GPPL,Midcap,Industrials
18-11-2020,TEJASNET,Midcap,Telecom
19-11-2020,GPIL,Midcap,Metals
20-11-2020,JSL,Largecap,Metals
23-11-2020,GSFC,Midcap,Industrials
27-11-2020,NMDC,Largecap,Industrials
27-11-2020,RENUKA,Midcap,FMCG
27-11-2020,NHPC,Largecap,Miscellaneous
02-12-2020,NETWORK18,Midcap,Media
03-12-2020,JSL,Largecap,Metals
08-12-2020,PRSMJOHNSN,Midcap,Industrials
08-12-2020,ALOKINDS,Midcap,Textiles
08-12-2020,RENUKA,Midcap,FMCG
08-12-2020,EQUITASBNK,Midcap,Bank
09-12-2020,KARURVYSYA,Midcap,Bank
09-12-2020,TTML,Midcap,Telecom
10-12-2020,EQUITASBNK,Midcap,Bank
11-12-2020,SUZLON,Largecap,FMCG
15-12-2020,PRSMJOHNSN,Midcap,Industrials
16-12-2020,USHAMART,Midcap,Metals
17-12-2020,FSL,Midcap,I.T
24-12-2020,RENUKA,Midcap,FMCG
28-12-2020,FSL,Midcap,I.T
28-12-2020,NHPC,Largecap,Miscellaneous
29-12-2020,JSL,Largecap,Metals
29-12-2020,IDEA,Largecap,Telecom
29-12-2020,RTNINDIA,Midcap,Miscellaneous
30-12-2020,SAIL,Largecap,Metals
30-12-2020,MMTC,Midcap,Services
30-12-2020,GPPL,Midcap,Industrials
31-12-2020,JAMNAAUTO,Smallcap,Auto
01-01-2021,PCBL,Midcap,Industrials
04-01-2021,CESC,Midcap,Miscellaneous
04-01-2021,ALOKINDS,Midcap,Textiles
05-01-2021,FEDERALBNK,Largecap,Bank
05-01-2021,GSFC,Midcap,Industrials
05-01-2021,NATIONALUM,Largecap,Metals
05-01-2021,NHPC,Largecap,Miscellaneous
05-01-2021,IDFCFIRSTB,Largecap,Bank
06-01-2021,TATAMTRDVR,Largecap,Auto
06-01-2021,MRPL,Largecap,Industrials
06-01-2021,NCC,Midcap,Realty
06-01-2021,TATAPOWER,Largecap,Miscellaneous
06-01-2021,TATASTEEL,Largecap,Metals
06-01-2021,HUDCO,Largecap,Finance
06-01-2021,NMDC,Largecap,Industrials
06-01-2021,IOB,Largecap,Bank
07-01-2021,JMFINANCIL,Midcap,Finance
07-01-2021,IRCON,Largecap,Realty
07-01-2021,GAIL,Largecap,Industrials
07-01-2021,MINDACORP,Midcap,Auto
08-01-2021,JAMNAAUTO,Smallcap,Auto
08-01-2021,ABCAPITAL,Largecap,Finance
08-01-2021,UJJIVANSFB,Midcap,Bank
08-01-2021,TTML,Midcap,Telecom
08-01-2021,IDFC,Midcap,Finance
08-01-2021,GMRINFRA,Largecap,Realty
08-01-2021,EQUITASBNK,Midcap,Bank
11-01-2021,IOC,Largecap,Industrials
11-01-2021,ADANIPOWER,Largecap,Miscellaneous
11-01-2021,SJVN,Largecap,Miscellaneous
12-01-2021,REDINGTON,Midcap,Services
13-01-2021,RCF,Midcap,Industrials
13-01-2021,NETWORK18,Midcap,Media
13-01-2021,PFC,Largecap,Finance
15-01-2021,TRIVENI,Midcap,FMCG
19-01-2021,PCBL,Midcap,Industrials
20-01-2021,NETWORK18,Midcap,Media
21-01-2021,FEDERALBNK,Largecap,Bank
21-01-2021,INDIANB,Largecap,Bank
28-01-2021,PRSMJOHNSN,Midcap,Industrials
28-01-2021,REDINGTON,Midcap,Services
02-02-2021,NATIONALUM,Largecap,Metals
02-02-2021,TRIVENI,Midcap,FMCG
03-02-2021,NCC,Midcap,Realty
03-02-2021,FEDERALBNK,Largecap,Bank
03-02-2021,REDINGTON,Midcap,Services
03-02-2021,MINDACORP,Midcap,Auto
04-02-2021,JAMNAAUTO,Smallcap,Auto
04-02-2021,IOC,Largecap,Industrials
04-02-2021,PFC,Largecap,Finance
04-02-2021,GPPL,Midcap,Industrials
04-02-2021,EQUITASBNK,Midcap,Bank
05-02-2021,TATAPOWER,Largecap,Miscellaneous
05-02-2021,GSFC,Midcap,Industrials
